	gene_id	gene_type	logFC	AveExpr
14542	ENSG00000251162.1	processed_pseudogene	0.288986286966654	0.963753404984955
12770	ENSG00000239001.1	snRNA	0.284058281834554	-0.736589822470625
9958	ENSG00000169981.10	protein_coding	0.347178018242233	-0.428500365035496
14566	ENSG00000249617.1	processed_pseudogene	0.374689522165781	-0.129425141225655
15465	ENSG00000250048.2	lincRNA	0.252694551635774	-0.535953826912674
15250	ENSG00000200600.1	misc_RNA	0.337943037221574	-1.274592797
11697	ENSG00000168827.14	protein_coding	0.290494501397552	3.840237336
11797	ENSG00000222357.1	snRNA	0.28599891338401	3.44827011
11347	ENSG00000174564.12	protein_coding	0.272108621459342	1.366711686
18853	ENSG00000217227.1	processed_pseudogene	0.493059217950792	-1.44600791
17665	ENSG00000253979.1	lincRNA	0.646880754131361	-2.173428232
8315	ENSG00000225406.1	processed_pseudogene	0.222345073625716	4.08890161
621	ENSG00000162482.4	protein_coding	0.258841482280639	-0.277348793509191
14525	ENSG00000248431.1	lincRNA	0.295812444787725	-0.250175119334968
15889	ENSG00000226544.4	processed_pseudogene	0.342316835504766	-0.566906433704992
8703	ENSG00000235864.1	processed_pseudogene	0.296352879466076	1.213962129
3857	ENSG00000233540.1	sense_intronic	0.249841735331847	2.772745477
4184	ENSG00000276735.1	misc_RNA	0.281264406050096	1.339071451
7789	ENSG00000232606.1	lincRNA	0.28270433407131	1.780642896
17680	ENSG00000250999.1	antisense	0.290359320041832	0.406575582495041
14788	ENSG00000250410.1	antisense	0.24529521474004	0.781992260403395
18723	ENSG00000242014.3	misc_RNA	0.248490038900778	1.745449205
13318	ENSG00000248763.2	unprocessed_pseudogene	0.332236472695574	-1.579952861
3659	ENSG00000227243.3	unprocessed_pseudogene	0.294771386005946	-0.802685828847038
1860	ENSG00000212257.1	snRNA	0.252258312185585	2.117380109
10400	ENSG00000244342.5	lincRNA	0.279978201638775	12.01568528
7625	ENSG00000234576.2	unprocessed_pseudogene	0.343811280449766	-0.0285309872862329
15063	ENSG00000250786.1	lincRNA	0.254652000460037	0.899935098582737
10506	ENSG00000244345.1	lincRNA	0.351980730586428	-0.404851041284904
12965	ENSG00000154277.12	protein_coding	0.352866357519732	-1.030630182
18833	ENSG00000275550.1	processed_pseudogene	0.358742395879571	-0.0162932516021306
11624	ENSG00000279305.1	TEC	0.278884212714655	-1.014057445
9528	ENSG00000207163.1	snRNA	0.330447972012655	0.879214562743717
18725	ENSG00000030110.12	protein_coding	0.234299580646816	2.141004644
15879	ENSG00000264099.1	miRNA	0.258465262933703	1.149291089
1440	ENSG00000232369.1	processed_pseudogene	0.26182924358456	0.536861305890766
6340	ENSG00000227791.3	processed_pseudogene	0.264978858422694	-0.853756281440347
6571	ENSG00000159399.9	protein_coding	0.568115416382197	-1.328277617
15035	ENSG00000249159.6	lincRNA	0.276192706831172	3.662953555
10039	ENSG00000163832.15	protein_coding	0.266964620627353	1.57420954
15876	ENSG00000278824.1	processed_pseudogene	0.330242248410465	-0.0554328080591542
115	ENSG00000179403.11	protein_coding	0.226755155224387	0.45359277073487
14695	ENSG00000249084.1	antisense	0.247600543834075	-0.382346780471395
8097	ENSG00000252779.1	snRNA	0.524620505763618	-1.629448955
18704	ENSG00000204220.11	protein_coding	0.195306479297251	1.019983526
7133	ENSG00000279904.1	TEC	0.250021261613055	-0.549272373386282
12651	ENSG00000264931.1	miRNA	0.294397567043896	0.19100901863486
4087	ENSG00000201312.1	rRNA_pseudogene	0.281340866085753	-1.278950622
13002	ENSG00000239679.3	misc_RNA	0.52198297367988	-0.603600270398157
1178	ENSG00000252368.1	rRNA_pseudogene	0.20884397856072	3.353114928
2552	ENSG00000199710.1	misc_RNA	0.278059096258456	0.850219254203712
11509	ENSG00000242440.1	lincRNA	0.252685271119026	1.810623158
434	ENSG00000116726.4	protein_coding	0.256963604737588	-1.377164243
5746	ENSG00000138073.13	protein_coding	0.293577869059629	-0.699814185912287
5244	ENSG00000230411.1	unprocessed_pseudogene	0.288383156423733	1.24958251
8284	ENSG00000234595.1	antisense	0.30016083255017	-1.410667955
5642	ENSG00000206882.1	rRNA_pseudogene	0.264872392494579	0.0385821054055317
1441	ENSG00000268949.1	processed_pseudogene	0.241785871999635	1.406514565
12781	ENSG00000251292.1	lincRNA	0.281733121394995	1.711738808
790	ENSG00000238482.1	snRNA	0.280388627495659	-1.362526516
14506	ENSG00000164123.6	protein_coding	0.375996485158417	-0.758050769589732
14549	ENSG00000244146.1	processed_pseudogene	0.30390066790493	-1.009996434
14696	ENSG00000038002.8	protein_coding	0.240309010254873	0.110016233161557
16848	ENSG00000120733.13	protein_coding	0.242782057563174	0.861453983451328
9526	ENSG00000131389.17	protein_coding	0.354269523896203	-1.465544574
14565	ENSG00000250430.1	processed_pseudogene	0.281158718406543	4.218393241
4327	ENSG00000184774.10	transcribed_unitary_pseudogene	0.212109554899826	0.868396986994129
6968	ENSG00000228873.1	lincRNA	0.236125571083407	0.566739772784965
10741	ENSG00000181458.10	protein_coding	0.21794480025009	0.939523180342518
16941	ENSG00000202515.1	misc_RNA	0.278972629076613	-0.745805992030805
15627	ENSG00000251307.1	antisense	0.224774232447034	4.82656823
9688	ENSG00000206559.7	protein_coding	0.223099441360012	3.600058817
9190	ENSG00000231546.1	transcribed_processed_pseudogene	0.301927367123606	0.131654971211052
9525	ENSG00000199609.1	rRNA_pseudogene	0.270374014647299	1.54177866
2881	ENSG00000276216.1	lincRNA	0.217955045964785	-0.13922468112521
15280	ENSG00000249616.1	processed_pseudogene	0.323006567113192	-0.488295700384084
3162	ENSG00000226716.1	antisense	0.27071584324043	-0.671207010722183
8078	ENSG00000234350.4	lincRNA	0.225904837051562	-1.092955007
9340	ENSG00000214073.2	processed_pseudogene	0.324389098545569	-1.387835408
8858	ENSG00000163497.2	protein_coding	0.302184010940683	-0.751950724350771
12772	ENSG00000244538.1	processed_pseudogene	0.197837810838277	2.334666075
998	ENSG00000223382.4	lincRNA	-0.239132139611669	0.017860275963818
2012	ENSG00000199921.1	snRNA	0.210613775811521	1.381990877
9173	ENSG00000226542.1	lincRNA	0.259281710802829	0.44307277050424
9191	ENSG00000144476.5	protein_coding	0.252822291890159	4.534627827
7903	ENSG00000282440.1	lincRNA	0.217627933203816	0.715587454055941
1525	ENSG00000271355.1	processed_pseudogene	-0.286181289782978	1.354628265
704	ENSG00000228397.2	lincRNA	0.263617807067129	1.502755915
6327	ENSG00000283222.1	miRNA	0.26177952243933	0.518076182409193
7790	ENSG00000226674.9	lincRNA	0.232244519268135	3.345754954
16609	ENSG00000213630.3	processed_pseudogene	-0.262099718173388	1.281280947
8916	ENSG00000235337.1	lincRNA	0.26976887667431	-0.241402343660774
9776	ENSG00000230067.3	transcribed_processed_pseudogene	0.267173507916118	0.605981645590227
4785	ENSG00000183814.15	protein_coding	0.261343274100928	0.708994955202904
4049	ENSG00000271269.1	processed_pseudogene	0.217519343962522	-0.204198299408701
8075	ENSG00000275414.1	misc_RNA	0.268392335835612	0.37681795973567
4845	ENSG00000270104.1	lincRNA	-0.260613555436898	-0.569554326982753
10615	ENSG00000241328.1	lincRNA	-0.235246377365295	0.227585435042432
18734	ENSG00000271362.1	processed_pseudogene	0.244847586421411	-0.573349141139931
2889	ENSG00000272150.5	transcribed_unprocessed_pseudogene	0.242317804413046	1.854362623
3882	ENSG00000238272.1	antisense	0.390146364242737	-1.462599498
1790	ENSG00000271200.1	lincRNA	0.259315481454118	1.738764457
10968	ENSG00000251012.2	protein_coding	0.227423485319732	-1.226676279
15848	ENSG00000254701.3	unprocessed_pseudogene	0.221644917630612	2.649036513
3051	ENSG00000143401.14	protein_coding	0.246702173056857	-0.0450635851723397
15722	ENSG00000251682.1	processed_pseudogene	0.27035725773406	1.482787425
9978	ENSG00000011376.10	protein_coding	0.260914111778024	-0.323626691432495
14886	ENSG00000199540.1	misc_RNA	0.235265109752419	1.581509908
15721	ENSG00000130449.5	protein_coding	0.359056730587398	-1.615313776
12583	ENSG00000250915.1	lincRNA	0.196208300775388	1.206090618
4375	ENSG00000225522.2	processed_pseudogene	0.262519736752925	0.403210012408366
15334	ENSG00000266243.1	miRNA	0.324071175388273	5.635526699
14543	ENSG00000223037.1	snRNA	0.267027924462047	0.225855873697623
5888	ENSG00000226994.7	lincRNA	0.225777183231762	1.227345427
18599	ENSG00000204387.13	protein_coding	0.244744317556923	-0.103534510910035
6664	ENSG00000260840.1	lincRNA	0.205933950301542	1.474562132
14005	ENSG00000201186.1	snRNA	0.237592331699137	-0.923456125359018
12720	ENSG00000137440.4	protein_coding	0.227102475473926	-0.747255998433632
11055	ENSG00000065485.19	protein_coding	-0.259398440659519	-1.093925336
10415	ENSG00000239653.1	antisense	0.234668214379004	-0.992216477667402
14868	ENSG00000250053.1	processed_pseudogene	-0.294401956144321	-1.405978942
2906	ENSG00000271601.3	protein_coding	0.189785366666331	6.029075095
18534	ENSG00000223702.1	processed_pseudogene	0.298380059903286	-0.989338075684712
8452	ENSG00000206836.1	snRNA	0.199226489701646	2.09461125
7500	ENSG00000202532.1	snRNA	0.193719855519229	5.911258071
16145	ENSG00000249061.1	lincRNA	0.295099838128811	-0.671977886644969
8834	ENSG00000135913.10	protein_coding	0.27232175790051	-0.0500026399896841
4445	ENSG00000261000.1	lincRNA	0.217962804398083	0.482604073065716
15281	ENSG00000113100.9	protein_coding	0.284694295955837	-0.093143530492103
9529	ENSG00000234123.1	processed_pseudogene	0.306163630491206	-1.413222109
1777	ENSG00000265535.2	misc_RNA	0.214274430489494	3.367053758
18726	ENSG00000197251.3	lincRNA	0.20120355996798	4.010510886
3938	ENSG00000237514.3	processed_pseudogene	0.233286005176134	-0.670561060241885
4598	ENSG00000230461.8	processed_transcript	0.22230206939164	0.858131156078091
15360	ENSG00000250583.1	lincRNA	0.216712919614197	0.952671489231378
14238	ENSG00000222613.1	misc_RNA	0.167515720734982	7.846221535
15285	ENSG00000250079.1	processed_pseudogene	0.293142351141758	4.627504713
11895	ENSG00000226779.1	antisense	0.232211418650226	-1.349927538
9043	ENSG00000201044.1	snRNA	0.299951705065057	0.890911778031255
5681	ENSG00000184924.5	protein_coding	0.25541160691103	-1.335194441
14641	ENSG00000221296.2	miRNA	0.240743414086132	0.165150580508905
14547	ENSG00000248329.5	protein_coding	0.286472730700268	-1.000315584
15952	ENSG00000242198.1	processed_pseudogene	0.207268577533331	2.513678805
4378	ENSG00000143850.14	protein_coding	0.274206699736638	0.678491910281985
14310	ENSG00000280250.1	TEC	0.206766149748912	2.432321593
18562	ENSG00000204469.12	protein_coding	0.193045121539305	0.26148280476343
6634	ENSG00000242118.3	misc_RNA	0.264502278429468	-1.035940274
6992	ENSG00000252845.1	rRNA_pseudogene	0.237165962584448	-0.134827552679816
5248	ENSG00000241128.2	protein_coding	0.216556312331721	-0.0234268935736769
137	ENSG00000008130.15	protein_coding	0.220706888652994	0.994542062260218
16776	ENSG00000249192.1	processed_pseudogene	0.254976007308593	-0.0397506682348917
2673	ENSG00000226973.1	unprocessed_pseudogene	0.178642335241021	2.194820235
15006	ENSG00000112941.13	protein_coding	0.183549036615082	3.221811066
10212	ENSG00000214686.5	protein_coding	0.232773507784469	1.128493268
1966	ENSG00000285808.1	lincRNA	0.22104284169926	-0.706503724490792
2553	ENSG00000237415.2	processed_pseudogene	0.232593209644556	1.622490342
15431	ENSG00000248587.7	antisense	0.205911963049659	2.609817475
4086	ENSG00000260976.1	lincRNA	0.220326558085784	-0.398552643663533
703	ENSG00000201273.1	snRNA	0.209113812616259	3.034904635
14158	ENSG00000283432.1	snRNA	0.208577905528444	2.107810043
12017	ENSG00000043093.13	protein_coding	0.277566277873905	0.838871111933971
8003	ENSG00000229641.1	processed_pseudogene	0.2313309916867	4.19556923
13426	ENSG00000249717.1	antisense	-0.226425405103231	-0.549828401042692
6932	ENSG00000204705.3	unprocessed_pseudogene	0.19959376358185	1.078172198
11751	ENSG00000243044.1	processed_pseudogene	0.444545017299581	-1.262953928
14269	ENSG00000197465.13	protein_coding	0.189056712892896	0.669040986571603
15994	ENSG00000250802.7	antisense	0.228496572882893	0.924052830114124
835	ENSG00000158014.14	protein_coding	0.203874344437364	-0.575972598463551
18748	ENSG00000124614.15	protein_coding	0.218694658068988	0.267030746113699
3313	ENSG00000163346.16	protein_coding	0.232084930452184	0.905869052183526
9984	ENSG00000279017.1	TEC	0.256911567441595	1.87022312
6495	ENSG00000135631.16	protein_coding	0.217130578258114	-1.272290219
3583	ENSG00000226003.2	processed_pseudogene	0.185487238553166	0.848715550921173
6718	ENSG00000115548.16	protein_coding	0.180453227107494	3.515830116
2317	ENSG00000228971.2	lincRNA	-0.238767178238235	-1.225089385
15066	ENSG00000169777.6	protein_coding	-0.276577384124746	5.967035929
2286	ENSG00000233129.1	processed_pseudogene	0.200733120747558	1.216148933
1902	ENSG00000238139.2	processed_pseudogene	0.254679447655552	-1.186182912
10249	ENSG00000239557.1	processed_pseudogene	-0.203284421716934	-1.251152621
7364	ENSG00000234199.2	lincRNA	0.256715586398808	1.021763058
5702	ENSG00000187536.4	processed_pseudogene	0.242374054842487	-1.12858967
14551	ENSG00000221891.2	processed_pseudogene	-0.229153238771726	-1.136721264
11805	ENSG00000085276.17	protein_coding	0.18803396468357	0.809016082948897
8735	ENSG00000283637.1	miRNA	0.222441509793853	-1.353121465
16074	ENSG00000131730.15	protein_coding	0.273186377023664	2.60180066
17873	ENSG00000265083.1	miRNA	0.20919511903229	0.726927306398424
2013	ENSG00000237552.1	lincRNA	0.204465407286301	0.251066210125646
16270	ENSG00000200884.1	misc_RNA	0.287956657081695	-1.462273814
2270	ENSG00000137942.16	protein_coding	-0.209039607786793	4.225404393
4056	ENSG00000226570.2	processed_pseudogene	0.219884668790365	0.218826958860877
12894	ENSG00000251332.1	processed_pseudogene	0.189897330399265	2.550651264
908	ENSG00000000938.12	protein_coding	0.238257687508903	-1.30825926
2096	ENSG00000142875.19	protein_coding	0.219269821329387	4.389909198
5316	ENSG00000200495.1	snRNA	0.173564024385202	5.56140906
13568	ENSG00000274154.1	processed_pseudogene	0.23865515621988	-1.274901051
6088	ENSG00000236824.2	scRNA	0.204357528803083	1.508032961
612	ENSG00000265606.1	miRNA	0.212743562831837	0.4604693966719
1868	ENSG00000116675.15	protein_coding	0.206863490792662	1.030155518
1439	ENSG00000229815.1	processed_pseudogene	0.184834841253621	2.450062541
6322	ENSG00000230923.2	lincRNA	0.317163480034558	-1.554757685
4316	ENSG00000232626.3	transcribed_processed_pseudogene	0.25691919171646	-1.250987713
14968	ENSG00000259603.1	antisense	0.243307411626913	-0.758580920475925
7265	ENSG00000169679.14	protein_coding	-0.248275211867924	7.356887006
3222	ENSG00000207321.1	snRNA	0.300481173618424	-1.254898731
15499	ENSG00000270513.1	processed_pseudogene	0.224457084288611	-1.108802769
12758	ENSG00000248228.1	sense_intronic	-0.212724114074018	-1.025976777
7627	ENSG00000276460.1	unprocessed_pseudogene	0.227744823056628	0.981886537135004
5084	ENSG00000215805.3	processed_pseudogene	0.196060616399148	-0.264812205273355
7563	ENSG00000271435.1	processed_pseudogene	0.173693490534369	1.379702476
13901	ENSG00000241722.2	processed_pseudogene	0.31158275338539	-1.632159122
12564	ENSG00000272620.1	antisense	0.204477469921614	0.244422922644262
18492	ENSG00000202241.1	misc_RNA	0.241945967045315	-0.503013939220758
9016	ENSG00000187957.7	protein_coding	0.401619567663876	-1.158390425
3666	ENSG00000243173.3	misc_RNA	0.217934863993838	0.316407486253455
9192	ENSG00000232328.1	lincRNA	0.270859862915781	-0.232151998401215
2937	ENSG00000180867.11	transcribed_processed_pseudogene	0.190608895172499	3.140840114
1867	ENSG00000231622.1	processed_pseudogene	0.182197760292093	1.626958788
13271	ENSG00000109163.6	protein_coding	0.177968298734738	2.668658621
17607	ENSG00000248996.1	antisense	0.186556083376331	1.461026955
1194	ENSG00000183317.16	protein_coding	0.259542081289119	1.102589445
14526	ENSG00000251123.1	processed_pseudogene	0.225692759589112	-0.169957669820366
6183	ENSG00000227799.1	processed_pseudogene	0.220272282212573	0.649241252965972
5617	ENSG00000227047.1	lincRNA	0.229507019025636	4.891258592
8525	ENSG00000115993.12	protein_coding	0.190688466138829	0.724549796234637
15120	ENSG00000248462.1	processed_pseudogene	0.226315611573704	0.588016588036942
7248	ENSG00000282785.1	transcribed_unprocessed_pseudogene	0.227809055927227	0.989744153394442
5701	ENSG00000143970.16	protein_coding	-0.229945411583109	0.620349493806552
255	ENSG00000284744.1	lincRNA	0.172357912476866	-0.204885062546562
11945	ENSG00000121864.9	protein_coding	0.181975029529713	5.905686239
14806	ENSG00000250327.1	processed_pseudogene	0.291393974608926	-1.226417229
3089	ENSG00000259357.2	antisense	0.261223938941363	-1.177744402
2550	ENSG00000259834.1	lincRNA	0.194288242863506	0.200820148723332
5381	ENSG00000151360.9	protein_coding	0.197789469055804	0.463357555101749
5747	ENSG00000186143.11	protein_coding	0.183595599911472	1.474245866
1848	ENSG00000284928.1	lincRNA	0.179878849244398	2.765764815
7124	ENSG00000227157.1	lincRNA	-0.206226082663612	3.899213421
7473	ENSG00000237524.9	protein_coding	0.215232521167882	1.095045865
18691	ENSG00000112473.17	protein_coding	0.210549137718423	1.910463919
523	ENSG00000116809.11	protein_coding	0.198099348960809	-1.294102772
11316	ENSG00000214288.4	processed_pseudogene	0.214036195080842	2.955226832
2516	ENSG00000134202.10	protein_coding	0.208866073973956	5.053600373
10495	ENSG00000244130.1	processed_pseudogene	0.17222138007454	5.710138764
11493	ENSG00000242671.1	lincRNA	0.210640460189186	1.374342363
12984	ENSG00000188848.15	protein_coding	0.194413911151479	0.982588177172964
6769	ENSG00000214336.4	protein_coding	0.216076649916634	1.346016532
3489	ENSG00000279111.2	protein_coding	0.262287436624319	0.308218522606149
11081	ENSG00000276626.1	misc_RNA	0.181774217501323	0.109723894658277
9524	ENSG00000251576.1	lincRNA	0.209853411470078	3.183884878
16623	ENSG00000249577.1	processed_pseudogene	-0.267039803629274	0.923096078777489
8022	ENSG00000224490.5	processed_transcript	0.166722983545706	1.84149466
7781	ENSG00000121964.14	protein_coding	0.176058843128871	3.346780269
12903	ENSG00000271958.1	lincRNA	0.206594241795263	2.957099291
13738	ENSG00000172955.17	protein_coding	0.205381242084289	1.986145358
2832	ENSG00000270962.1	processed_pseudogene	0.179515831304679	8.162445626
140	ENSG00000169885.9	protein_coding	0.272256012220157	-1.437929182
5121	ENSG00000197769.5	protein_coding	0.212664536463857	0.252389111313003
1531	ENSG00000225028.1	lincRNA	-0.209765923811219	5.389997543
11625	ENSG00000174948.5	protein_coding	0.217773810823516	-0.334996018563009
7007	ENSG00000277701.4	lincRNA	0.185444316560188	0.597685047939695
17151	ENSG00000164284.14	protein_coding	-0.19288670000941	4.55843728
8597	ENSG00000233459.1	processed_pseudogene	0.195958572660922	1.343587236
2865	ENSG00000277199.1	lincRNA	-0.18558809430216	2.144082146
8343	ENSG00000144366.15	protein_coding	-0.194770632832697	-1.316905662
5763	ENSG00000163795.13	protein_coding	0.172492431058729	1.893666908
14151	ENSG00000249000.1	lincRNA	0.195991633455053	0.648883573319758
16196	ENSG00000241059.2	antisense	0.263058701324642	-1.198917528
10011	ENSG00000251967.1	snoRNA	0.169429730007263	5.297850876
1471	ENSG00000232467.2	processed_pseudogene	0.218643115223342	-1.38216053
920	ENSG00000269971.1	sense_intronic	0.147486587817293	0.705448611552477
13615	ENSG00000198189.10	protein_coding	0.17963294683013	3.801184119
17433	ENSG00000263831.1	miRNA	0.198086579037213	2.326138245
8749	ENSG00000138376.10	protein_coding	0.202842426689801	-0.0586857549861722
3377	ENSG00000132680.10	protein_coding	0.216240835043949	3.125187512
8252	ENSG00000271011.1	antisense	0.360638618081224	-1.162946838
14829	ENSG00000250590.5	lincRNA	0.211688208165445	0.672948755833571
5514	ENSG00000239899.3	misc_RNA	0.241712832171089	1.010237378
5904	ENSG00000115808.11	protein_coding	-0.178490326851981	6.838623438
8473	ENSG00000238217.5	lincRNA	-0.218760682845608	-1.341265119
10174	ENSG00000179564.3	protein_coding	0.304821121096017	-1.490630535
6853	ENSG00000211625.2	IG_V_gene	0.220685299925095	0.155022298423082
9388	ENSG00000227110.6	antisense	0.187845101747194	-1.083977573
1996	ENSG00000213579.3	processed_pseudogene	0.206609827388088	-0.817636166921997
3481	ENSG00000173285.4	protein_coding	0.170901979001883	1.419743936
10029	ENSG00000275940.1	processed_pseudogene	0.158443995259158	5.274509222
9344	ENSG00000227588.2	lincRNA	-0.190058701885919	4.361543901
9262	ENSG00000144504.15	protein_coding	0.168058942728027	0.926679651253316
14463	ENSG00000151790.8	protein_coding	0.213188016188184	-1.398022314
7626	ENSG00000226831.1	processed_pseudogene	0.231429649438031	0.843637389506616
8531	ENSG00000224299.1	unprocessed_pseudogene	0.173229625271937	2.204325474
1904	ENSG00000232048.2	processed_pseudogene	0.187736050355081	1.278119246
15036	ENSG00000251549.2	unprocessed_pseudogene	0.17529602654854	1.689009815
12542	ENSG00000284847.1	unprocessed_pseudogene	0.184940980258066	-0.468131157621038
4843	ENSG00000269934.1	antisense	0.183316383874921	2.577248394
11457	ENSG00000163714.17	protein_coding	0.18373775897249	1.031430647
3189	ENSG00000203786.6	protein_coding	0.190565482037281	3.011826606
9865	ENSG00000188846.13	protein_coding	0.249334587200934	-1.343039654
5930	ENSG00000232973.12	antisense	0.300068445358866	-1.586110951
602	ENSG00000280222.1	TEC	0.24229524290276	-1.529466263
8747	ENSG00000224257.1	sense_intronic	0.233445881813332	-1.614962365
8129	ENSG00000172845.14	protein_coding	0.20647801614019	-0.365559406684707
3368	ENSG00000163374.19	protein_coding	0.171629680258499	0.360148172131624
4927	ENSG00000223393.1	antisense	0.194791652889292	1.257741108
11822	ENSG00000240128.1	processed_pseudogene	0.20747130161056	-1.320270122
4453	ENSG00000224114.1	processed_pseudogene	0.22528429007312	0.385670863867796
11359	ENSG00000240668.1	processed_pseudogene	0.196776427667143	-1.450511983
11996	ENSG00000278026.1	misc_RNA	0.204778142669552	-1.232662457
11167	ENSG00000222627.1	snRNA	-0.184082127427481	0.930762681174483
8149	ENSG00000236449.1	antisense	-0.204888210516934	0.236545921663181
6302	ENSG00000115507.9	protein_coding	-0.190409397418252	4.919172543
4856	ENSG00000181201.3	unitary_pseudogene	0.235164385864444	0.510973506707126
9992	ENSG00000172215.5	protein_coding	0.24238416088124	-1.556999068
14245	ENSG00000250141.1	lincRNA	0.23235292148482	0.567707517285941
6528	ENSG00000163170.11	protein_coding	0.162245206715759	2.864561984
14605	ENSG00000201818.1	misc_RNA	0.265914191654536	-1.417498352
8296	ENSG00000232430.1	processed_pseudogene	0.213602957496647	1.483121535
15877	ENSG00000285804.1	antisense	0.224680506200269	-0.910921257144041
6092	ENSG00000277396.1	misc_RNA	0.267204942143006	0.781258592703186
15581	ENSG00000152684.10	protein_coding	0.19204735715012	-0.553662513332311
9991	ENSG00000163820.14	protein_coding	0.21365354999449	-0.772475492576628
15840	ENSG00000198237.8	unprocessed_pseudogene	0.203978969647901	-1.317641235
17227	ENSG00000213433.5	transcribed_processed_pseudogene	0.197388312368658	-0.312111496126324
1614	ENSG00000224255.2	processed_pseudogene	0.235549643337215	1.28618386
554	ENSG00000233421.4	lincRNA	0.204538955721494	3.388179336
9989	ENSG00000173585.15	protein_coding	0.185212732490061	0.409314497631851
10927	ENSG00000151577.12	protein_coding	0.186758222277761	0.488103015005223
2980	ENSG00000252744.1	misc_RNA	0.162689737097861	2.132730727
5623	ENSG00000143869.6	protein_coding	0.241590442438348	-1.230124036
5813	ENSG00000229224.1	antisense	0.188394431782682	-0.378388373804468
18942	ENSG00000237107.3	processed_pseudogene	0.156203536397313	4.744311937
14190	ENSG00000250977.1	lincRNA	0.201992554394991	-1.395392319
2672	ENSG00000134259.3	protein_coding	0.160489852924283	1.416192965
16639	ENSG00000248634.1	sense_intronic	0.165695552243138	0.124019009230291
18661	ENSG00000237541.3	protein_coding	0.179162618142439	0.58808058531523
8074	ENSG00000213981.8	antisense	0.214114833684771	-0.0297868985817008
16174	ENSG00000250437.1	lincRNA	0.247366868374238	-1.504497531
1313	ENSG00000204060.7	protein_coding	0.175562727981053	0.406838027777224
9151	ENSG00000248705.1	unprocessed_pseudogene	0.209513160871044	0.247967217297516
1654	ENSG00000236723.2	antisense	-0.179883385896746	5.675832258
17835	ENSG00000238158.6	sense_overlapping	0.180460874076149	4.010043043
12047	ENSG00000178084.1	protein_coding	0.2016600266933	-0.688070186851387
14956	ENSG00000281560.1	lincRNA	-0.202931325575924	-0.989814593106324
2046	ENSG00000122420.9	protein_coding	0.166214229217324	0.719272677760168
11563	ENSG00000144895.11	protein_coding	0.279563920147346	-0.608734401390117
17703	ENSG00000229721.3	processed_pseudogene	0.233683531624035	-0.28522447524184
14213	ENSG00000249302.2	processed_pseudogene	0.148033951493641	0.735861460161773
13485	ENSG00000156234.7	protein_coding	0.161617457070618	2.485011351
7094	ENSG00000115590.13	protein_coding	0.182283245932296	3.849797198
12771	ENSG00000152990.13	protein_coding	0.158007414142816	1.594280476
15496	ENSG00000112964.13	protein_coding	0.164659867491438	2.223416613
8273	ENSG00000226564.1	processed_pseudogene	0.252643763217957	-1.363388084
718	ENSG00000237200.1	sense_intronic	-0.23765035873538	0.66702340476263
6394	ENSG00000273398.6	protein_coding	-0.20783217705206	0.999439454632834
15111	ENSG00000207312.1	snRNA	0.188422317462826	3.223940292
